Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@](C)(O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](CC)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CC[C@@H](O)C(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)OCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C(=O)O[C@@H]2/C=C(\C)C[C@H]3C=C(CC/C=C(\C)CC[C@@H]12)C(=O)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C2=C(C[C@@]1(C)C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC2,0.0,,,,,,,0.0,
C=C1C2CCC(C2)C1(C)C,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
C=C1C=CC=C(C)[C@@H]1N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
